TIME	Discharge	H-Well	Concentration	Net-Inflow	Net-Outflow	Node0000031	Node0000325
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8889    	 0.13460522E-09	  177.18741    	 -1.0000000    	 -16088.663    	  16088.663    	 -16088.663    	  16088.663    
  6874.4443    	 0.56934368E-09	  177.18747    	 -1.0000000    	 -16088.541    	  16088.541    	 -16088.541    	  16088.541    
  11925.666    	-0.41836756E-10	  177.18747    	 -1.0000000    	 -16088.581    	  16088.581    	 -16088.581    	  16088.581    
  18492.254    	-0.72759576E-10	  177.18749    	 -1.0000000    	 -16088.602    	  16088.602    	 -16088.602    	  16088.602    
  27028.816    	-0.29467628E-09	  177.18750    	 -1.0000000    	 -16088.608    	  16088.608    	 -16088.608    	  16088.608    
  38126.348    	-0.53478288E-09	  177.18751    	 -1.0000000    	 -16088.611    	  16088.611    	 -16088.611    	  16088.611    
  52553.141    	 0.10913936E-09	  177.18752    	 -1.0000000    	 -16088.615    	  16088.615    	 -16088.615    	  16088.615    
  71307.969    	 0.36379788E-10	  177.18752    	 -1.0000000    	 -16088.616    	  16088.616    	 -16088.616    	  16088.616    
  95689.242    	 0.22373570E-09	  177.18753    	 -1.0000000    	 -16088.619    	  16088.619    	 -16088.619    	  16088.619    
  127384.90    	-0.16189006E-09	  177.18754    	 -1.0000000    	 -16088.619    	  16088.619    	 -16088.619    	  16088.619    
  168589.25    	-0.56388672E-09	  177.18754    	 -1.0000000    	 -16088.621    	  16088.621    	 -16088.621    	  16088.621    
  222154.91    	 0.31104719E-09	  177.18755    	 -1.0000000    	 -16088.621    	  16088.621    	 -16088.621    	  16088.621    
  291790.25    	 0.11095835E-09	  177.18755    	 -1.0000000    	 -16088.623    	  16088.623    	 -16088.623    	  16088.623    
  382316.19    	-0.45110937E-09	  177.18755    	 -1.0000000    	 -16088.623    	  16088.623    	 -16088.623    	  16088.623    
  499999.94    	 0.27284841E-10	  177.18755    	 -1.0000000    	 -16088.624    	  16088.624    	 -16088.624    	  16088.624    
  502988.81    	 -20000.000    	  160.63204    	  338.60086    	 -20144.154    	  144.15362    	 -20144.154    	  144.15362    
  506874.38    	 -20000.000    	  160.63204    	  338.60081    	 -20144.166    	  144.16639    	 -20144.166    	  144.16639    
  511925.59    	 -20000.000    	  160.63205    	  338.60079    	 -20144.170    	  144.16977    	 -20144.170    	  144.16977    
  518492.19    	 -20000.000    	  160.63206    	  338.60078    	 -20144.175    	  144.17532    	 -20144.175    	  144.17532    
  527028.75    	 -20000.000    	  160.63207    	  338.60077    	 -20144.178    	  144.17769    	 -20144.178    	  144.17769    
  538126.31    	 -20000.000    	  160.63207    	  338.60076    	 -20144.181    	  144.18092    	 -20144.181    	  144.18092    
  552553.12    	 -20000.000    	  160.63207    	  338.60076    	 -20144.182    	  144.18229    	 -20144.182    	  144.18229    
  571307.94    	 -20000.000    	  160.63208    	  338.60076    	 -20144.184    	  144.18448    	 -20144.184    	  144.18448    
  595689.19    	 -20000.000    	  160.63208    	  338.60076    	 -20144.185    	  144.18529    	 -20144.185    	  144.18529    
  627384.88    	 -20000.000    	  160.63208    	  338.60075    	 -20144.187    	  144.18694    	 -20144.187    	  144.18694    
  668589.25    	 -20000.000    	  160.63209    	  338.60075    	 -20144.188    	  144.18752    	 -20144.188    	  144.18752    
  722154.88    	 -20000.000    	  160.63209    	  338.60075    	 -20144.189    	  144.18876    	 -20144.189    	  144.18876    
  791790.25    	 -20000.000    	  160.63209    	  338.60075    	 -20144.189    	  144.18918    	 -20144.189    	  144.18918    
  882316.19    	 -20000.000    	  160.63210    	  338.60075    	 -20144.190    	  144.19012    	 -20144.190    	  144.19012    
  999999.94    	 -20000.000    	  160.63210    	  338.60075    	 -20144.190    	  144.19036    	 -20144.190    	  144.19036    
  1000000.3    	 -20000.000    	  160.62677    	  343.40697    	 -20127.351    	  127.35097    	 -20127.351    	  127.35097    
  1000000.8    	 -20000.000    	  160.61792    	  343.46209    	 -20115.830    	  115.83046    	 -20115.830    	  115.83046    
  1000001.4    	 -20000.000    	  160.60507    	  343.52049    	 -20108.222    	  108.22250    	 -20108.222    	  108.22250    
  1000002.2    	 -20000.000    	  160.58756    	  343.58707    	 -20102.919    	  102.91884    	 -20102.919    	  102.91884    
  1000003.2    	 -20000.000    	  160.56435    	  343.66721    	 -20098.462    	  98.462472    	 -20098.462    	  98.462472    
  1000004.5    	 -20000.000    	  160.53402    	  343.76588    	 -20093.454    	  93.453696    	 -20093.454    	  93.453696    
  1000006.2    	 -20000.000    	  160.49455    	  343.88829    	 -20087.015    	  87.014868    	 -20087.015    	  87.014868    
  1000008.5    	 -20000.000    	  160.44332    	  344.03963    	 -20078.273    	  78.272665    	 -20078.273    	  78.272665    
  1000011.4    	 -20000.000    	  160.37686    	  344.22530    	 -20066.105    	  66.104626    	 -20066.105    	  66.104626    
  1000015.2    	 -20000.000    	  160.29062    	  344.45186    	 -20049.551    	  49.550606    	 -20049.551    	  49.550606    
  1000020.2    	 -20000.000    	  160.17895    	  344.72557    	 -20026.196    	  26.196214    	 -20026.196    	  26.196214    
  1000026.6    	 -20000.000    	  160.03434    	  345.04848    	 -20000.000    	  0.0000000    	 -19994.178    	 -5.8217502    
  1000035.0    	 -20000.000    	  159.84740    	  345.39619    	 -20000.000    	  0.0000000    	 -19950.141    	 -49.858672    
  1000045.9    	 -20000.000    	  159.60615    	  345.79472    	 -20000.000    	  0.0000000    	 -19889.829    	 -110.17052    
  1000060.0    	 -20000.000    	  159.29560    	  346.24280    	 -20000.000    	  0.0000000    	 -19807.592    	 -192.40832    
  1000061.1    	 -20000.000    	  159.26396    	  346.32516    	 -20000.000    	  0.0000000    	 -19790.066    	 -209.93376    
  1000062.4    	 -20000.000    	  159.22116    	  346.42085    	 -20000.000    	  0.0000000    	 -19776.362    	 -223.63846    
  1000064.2    	 -20000.000    	  159.16492    	  346.53828    	 -20000.000    	  0.0000000    	 -19761.960    	 -238.04010    
  1000066.6    	 -20000.000    	  159.09178    	  346.68414    	 -20000.000    	  0.0000000    	 -19743.828    	 -256.17243    
  1000069.7    	 -20000.000    	  158.99684    	  346.86536    	 -20000.000    	  0.0000000    	 -19720.216    	 -279.78377    
  1000073.7    	 -20000.000    	  158.87374    	  347.08866    	 -20000.000    	  0.0000000    	 -19688.910    	 -311.08970    
  1000078.9    	 -20000.000    	  158.71427    	  347.36259    	 -20000.000    	  0.0000000    	 -19647.517    	 -352.48348    
  1000085.6    	 -20000.000    	  158.50791    	  347.69573    	 -20000.000    	  0.0000000    	 -19592.635    	 -407.36513    
  1000094.4    	 -20000.000    	  158.24127    	  348.09749    	 -20000.000    	  0.0000000    	 -19519.706    	 -480.29446    
  1000105.8    	 -20000.000    	  157.89757    	  348.57592    	 -20000.000    	  0.0000000    	 -19421.875    	 -578.12486    
  1000120.6    	 -20000.000    	  157.45540    	  349.13948    	 -20000.000    	  0.0000000    	 -19291.736    	 -708.26373    
  1000139.9    	 -20000.000    	  156.88862    	  349.79245    	 -20000.000    	  0.0000000    	 -19117.898    	 -882.10207    
  1000165.0    	 -20000.000    	  156.16545    	  350.53456    	 -20000.000    	  0.0000000    	 -18885.988    	 -1114.0117    
  1000197.6    	 -20000.000    	  155.29927    	  393.96821    	 -20000.000    	  0.0000000    	 -18389.713    	 -1610.2873    
  1000239.9    	 -20000.000    	  154.18157    	  385.20676    	 -20000.000    	  0.0000000    	 -17939.797    	 -2060.2031    
  1000254.6    	 -20000.000    	  154.59910    	  382.42399    	 -20000.000    	  0.0000000    	 -17997.962    	 -2002.0377    
  1000269.2    	 -20000.000    	  155.03186    	  379.78709    	 -20000.000    	  0.0000000    	 -17992.901    	 -2007.0989    
  1000283.8    	 -20000.000    	  155.46437    	  377.61232    	 -20000.000    	  0.0000000    	 -17998.873    	 -2001.1270    
  1000298.4    	 -20000.000    	  155.84851    	  370.01626    	 -20000.000    	  0.0000000    	 -18218.928    	 -1781.0716    
  1000313.1    	 -20000.000    	  156.26518    	  372.36695    	 -20000.000    	  0.0000000    	 -18276.821    	 -1723.1785    
  1000327.7    	 -20000.000    	  156.68241    	  373.46977    	 -20000.000    	  0.0000000    	 -18334.374    	 -1665.6263    
  1000342.3    	 -20000.000    	  157.08868    	  374.03957    	 -20000.000    	  0.0000000    	 -18429.644    	 -1570.3556    
  1000356.9    	 -20000.000    	  157.48608    	  335.24301    	 -20000.000    	  0.0000000    	 -18544.383    	 -1455.6173    
  1000371.6    	 -20000.000    	  157.87899    	  336.44454    	 -20000.000    	  0.0000000    	 -18657.534    	 -1342.4659    
  1000386.2    	 -20000.000    	  158.26785    	  336.99267    	 -20000.000    	  0.0000000    	 -18769.451    	 -1230.5495    
  1000400.8    	 -20000.000    	  158.65264    	  337.26218    	 -20000.000    	  0.0000000    	 -18881.866    	 -1118.1341    
  1000415.4    	 -20000.000    	  159.03340    	  337.41088    	 -20000.000    	  0.0000000    	 -18995.685    	 -1004.3150    
  1000430.1    	 -20000.000    	  159.41014    	  337.50674    	 -20000.000    	  0.0000000    	 -19111.329    	 -888.67115    
  1000444.7    	 -20000.000    	  159.78286    	  337.58005    	 -20000.000    	  0.0000000    	 -19229.028    	 -770.97174    
  1000459.3    	 -20000.000    	  160.15155    	  337.64459    	 -20000.000    	  0.0000000    	 -19348.825    	 -651.17461    
  1000473.9    	 -20000.000    	  160.51618    	  337.70671    	 -20000.000    	  0.0000000    	 -19470.599    	 -529.40067    
  1000488.6    	 -20000.000    	  160.87673    	  337.76943    	 -20000.000    	  0.0000000    	 -19594.275    	 -405.72451    
  1000503.2    	 -20000.000    	  161.23327    	  337.83390    	 -20000.000    	  0.0000000    	 -19719.338    	 -280.66181    
  1000517.8    	 -20000.000    	  161.58559    	  337.90069    	 -20000.000    	  0.0000000    	 -19846.363    	 -153.63656    
  1000532.4    	 -20000.000    	  161.93376    	  337.96967    	 -20000.000    	  0.0000000    	 -19974.763    	 -25.236774    
  1000547.1    	 -20000.000    	  162.27780    	  337.96744    	 -20104.414    	  104.41415    	 -20104.414    	  104.41415    
  1000561.7    	 -20000.000    	  162.61767    	  337.95125    	 -20235.096    	  235.09590    	 -20235.096    	  235.09590    
  1000576.3    	 -20000.000    	  162.93906    	  332.27373    	 -20413.871    	  413.87097    	 -20413.871    	  413.87097    
  1000590.9    	 -20000.000    	  163.25383    	  332.40797    	 -20576.131    	  576.13065    	 -20576.131    	  576.13065    
  1000605.6    	 -20000.000    	  163.56258    	  332.41851    	 -20724.362    	  724.36163    	 -20724.362    	  724.36163    
  1000620.2    	 -20000.000    	  163.86603    	  332.31324    	 -20861.294    	  861.29367    	 -20861.294    	  861.29367    
  1000634.8    	 -20000.000    	  164.16526    	  332.00120    	 -20987.064    	  987.06415    	 -20987.064    	  987.06415    
  1000649.4    	 -20000.000    	  164.45978    	  331.65802    	 -21108.164    	  1108.1637    	 -21108.164    	  1108.1637    
  1000664.1    	 -20000.000    	  164.74975    	  331.30381    	 -21226.059    	  1226.0589    	 -21226.059    	  1226.0589    
  1000678.7    	 -20000.000    	  165.03532    	  330.94859    	 -21341.653    	  1341.6529    	 -21341.653    	  1341.6529    
  1000693.3    	 -20000.000    	  165.31660    	  330.59744    	 -21455.490    	  1455.4903    	 -21455.490    	  1455.4903    
  1000707.9    	 -20000.000    	  165.59367    	  330.32255    	 -21567.868    	  1567.8678    	 -21567.868    	  1567.8678    
  1000722.6    	 -20000.000    	  165.86672    	  330.26893    	 -21678.405    	  1678.4047    	 -21678.405    	  1678.4047    
  1000737.2    	 -20000.000    	  166.13577    	  330.21506    	 -21787.462    	  1787.4621    	 -21787.462    	  1787.4621    
  1000751.8    	 -20000.000    	  166.40106    	  330.16109    	 -21894.486    	  1894.4856    	 -21894.486    	  1894.4856    
  1000766.4    	 -20000.000    	  166.66299    	  330.10718    	 -21998.714    	  1998.7138    	 -21998.714    	  1998.7138    
  1000781.1    	 -20000.000    	  166.92167    	  330.05349    	 -22100.708    	  2100.7085    	 -22100.708    	  2100.7085    
  1000795.7    	 -20000.000    	  167.17721    	  330.00025    	 -22201.083    	  2201.0825    	 -22201.083    	  2201.0825    
  1000810.3    	 -20000.000    	  167.42966    	  329.94755    	 -22300.142    	  2300.1425    	 -22300.142    	  2300.1425    
  1000824.9    	 -20000.000    	  167.67910    	  329.89543    	 -22398.133    	  2398.1332    	 -22398.133    	  2398.1332    
  1000839.6    	 -20000.000    	  167.92557    	  329.84403    	 -22495.286    	  2495.2862    	 -22495.286    	  2495.2862    
  1000854.2    	 -20000.000    	  168.16910    	  329.79330    	 -22591.636    	  2591.6360    	 -22591.636    	  2591.6360    
  1000868.8    	 -20000.000    	  168.40972    	  329.74334    	 -22687.274    	  2687.2741    	 -22687.274    	  2687.2741    
  1000883.4    	 -20000.000    	  168.64747    	  329.69411    	 -22782.268    	  2782.2679    	 -22782.268    	  2782.2679    
  1000898.1    	 -20000.000    	  168.88237    	  329.64562    	 -22876.630    	  2876.6301    	 -22876.630    	  2876.6301    
  1000912.7    	 -20000.000    	  169.11443    	  329.59794    	 -22970.326    	  2970.3257    	 -22970.326    	  2970.3257    
  1000927.3    	 -20000.000    	  169.34369    	  329.55104    	 -23063.399    	  3063.3992    	 -23063.399    	  3063.3992    
  1000941.9    	 -20000.000    	  169.57017    	  329.50491    	 -23155.854    	  3155.8536    	 -23155.854    	  3155.8536    
  1000956.6    	 -20000.000    	  169.79416    	  329.52823    	 -23246.639    	  3246.6388    	 -23246.639    	  3246.6388    
  1000971.2    	 -20000.000    	  170.01582    	  329.57758    	 -23336.047    	  3336.0472    	 -23336.047    	  3336.0472    
