TIME	Discharge	H-Well	Concentration	Net-Inflow	Net-Outflow	Node0000040	Node0000334
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8889    	 0.21691449E-09	  157.32578    	  175.00000    	 -3991.7692    	  3991.7692    	  3991.7692    	 -3991.7692    
  6874.4443    	 0.15370460E-09	  157.32583    	  175.00000    	 -3991.8687    	  3991.8687    	  3991.8687    	 -3991.8687    
  11925.666    	-0.38653525E-10	  157.32583    	  175.00000    	 -3991.8599    	  3991.8599    	  3991.8599    	 -3991.8599    
  18492.254    	 0.15052137E-09	  157.32584    	  175.00000    	 -3991.8555    	  3991.8555    	  3991.8555    	 -3991.8555    
  27028.816    	-0.86401997E-11	  157.32584    	  175.00000    	 -3991.8568    	  3991.8568    	  3991.8568    	 -3991.8568    
  38126.348    	 0.30240699E-09	  157.32585    	  175.00000    	 -3991.8592    	  3991.8592    	  3991.8592    	 -3991.8592    
  52553.141    	 0.62436811E-09	  157.32585    	  175.00000    	 -3991.8612    	  3991.8612    	  3991.8612    	 -3991.8612    
  71307.969    	-0.14460966E-09	  157.32585    	  175.00000    	 -3991.8637    	  3991.8637    	  3991.8637    	 -3991.8637    
  95689.242    	 0.47111826E-09	  157.32586    	  175.00000    	 -3991.8652    	  3991.8652    	  3991.8652    	 -3991.8652    
  127384.90    	 0.34151526E-09	  157.32586    	  175.00000    	 -3991.8674    	  3991.8674    	  3991.8674    	 -3991.8674    
  168589.25    	 0.90949470E-10	  157.32586    	  175.00000    	 -3991.8687    	  3991.8687    	  3991.8687    	 -3991.8687    
  222154.91    	-0.79126039E-10	  157.32586    	  175.00000    	 -3991.8703    	  3991.8703    	  3991.8703    	 -3991.8703    
  291790.25    	 0.45929482E-10	  157.32586    	  175.00000    	 -3991.8713    	  3991.8713    	  3991.8713    	 -3991.8713    
  382316.19    	-0.39153747E-09	  157.32587    	  175.00000    	 -3991.8724    	  3991.8724    	  3991.8724    	 -3991.8724    
  499999.94    	 0.55251803E-09	  157.32587    	  175.00000    	 -3991.8732    	  3991.8732    	  3991.8732    	 -3991.8732    
  502988.81    	 -96168.352    	  140.00000    	  338.60086    	 -96168.352    	  0.0000000    	 -28435.577    	 -67732.775    
  506874.38    	 -96168.280    	  140.00000    	  338.60081    	 -96168.280    	  0.0000000    	 -28435.573    	 -67732.706    
  511925.59    	 -96168.252    	  140.00000    	  338.60079    	 -96168.252    	  0.0000000    	 -28435.575    	 -67732.677    
  518492.19    	 -96168.245    	  140.00000    	  338.60078    	 -96168.245    	  0.0000000    	 -28435.578    	 -67732.667    
  527028.75    	 -96168.243    	  140.00000    	  338.60077    	 -96168.243    	  0.0000000    	 -28435.580    	 -67732.662    
  538126.31    	 -96168.242    	  140.00000    	  338.60076    	 -96168.242    	  0.0000000    	 -28435.582    	 -67732.660    
  552553.12    	 -96168.243    	  140.00000    	  338.60076    	 -96168.243    	  0.0000000    	 -28435.584    	 -67732.658    
  571307.94    	 -96168.244    	  140.00000    	  338.60076    	 -96168.244    	  0.0000000    	 -28435.586    	 -67732.658    
  595689.19    	 -96168.244    	  140.00000    	  338.60076    	 -96168.244    	  0.0000000    	 -28435.588    	 -67732.657    
  627384.88    	 -96168.245    	  140.00000    	  338.60075    	 -96168.245    	  0.0000000    	 -28435.589    	 -67732.656    
  668589.25    	 -96168.246    	  140.00000    	  338.60075    	 -96168.246    	  0.0000000    	 -28435.590    	 -67732.656    
  722154.88    	 -96168.247    	  140.00000    	  338.60075    	 -96168.247    	  0.0000000    	 -28435.591    	 -67732.656    
  791790.25    	 -96168.248    	  140.00000    	  338.60075    	 -96168.248    	  0.0000000    	 -28435.592    	 -67732.656    
  882316.19    	 -96168.249    	  140.00000    	  338.60075    	 -96168.249    	  0.0000000    	 -28435.593    	 -67732.656    
  999999.94    	 -96168.250    	  140.00000    	  338.60075    	 -96168.250    	  0.0000000    	 -28435.594    	 -67732.656    
  1000000.3    	 -96102.663    	  140.00000    	  343.40697    	 -96102.663    	  0.0000000    	 -28395.795    	 -67706.868    
  1000000.8    	 -95997.410    	  140.00000    	  343.46209    	 -95997.410    	  0.0000000    	 -28344.404    	 -67653.006    
  1000001.4    	 -95846.476    	  140.00000    	  343.52049    	 -95846.476    	  0.0000000    	 -28278.308    	 -67568.168    
  1000002.2    	 -95642.172    	  140.00000    	  343.58707    	 -95642.172    	  0.0000000    	 -28193.419    	 -67448.753    
  1000003.2    	 -95373.860    	  140.00000    	  343.66721    	 -95373.860    	  0.0000000    	 -28084.691    	 -67289.169    
  1000004.5    	 -95026.451    	  140.00000    	  343.76588    	 -95026.451    	  0.0000000    	 -27945.889    	 -67080.562    
  1000006.2    	 -94580.433    	  140.00000    	  343.88829    	 -94580.433    	  0.0000000    	 -27769.502    	 -66810.930    
  1000008.5    	 -94010.097    	  140.00000    	  344.03963    	 -94010.097    	  0.0000000    	 -27546.314    	 -66463.783    
  1000011.4    	 -93283.617    	  140.00000    	  344.22530    	 -93283.617    	  0.0000000    	 -27265.437    	 -66018.180    
  1000015.2    	 -92362.357    	  140.00000    	  344.45186    	 -92362.357    	  0.0000000    	 -26914.002    	 -65448.356    
  1000020.2    	 -91199.496    	  140.00000    	  344.72557    	 -91199.496    	  0.0000000    	 -26477.354    	 -64722.142    
  1000026.6    	 -89740.230    	  140.00000    	  345.04848    	 -89740.230    	  0.0000000    	 -25939.182    	 -63801.048    
  1000035.0    	 -87921.096    	  140.00000    	  345.39619    	 -87921.096    	  0.0000000    	 -25282.156    	 -62638.940    
  1000045.9    	 -85669.702    	  140.00000    	  345.79472    	 -85669.702    	  0.0000000    	 -24488.551    	 -61181.151    
  1000060.0    	 -82906.638    	  140.00000    	  346.24280    	 -82906.638    	  0.0000000    	 -23541.461    	 -59365.177    
  1000061.1    	 -82602.088    	  140.00000    	  346.32516    	 -82602.088    	  0.0000000    	 -23423.636    	 -59178.453    
  1000062.4    	 -82189.589    	  140.00000    	  346.42085    	 -82189.589    	  0.0000000    	 -23272.443    	 -58917.146    
  1000064.2    	 -81651.919    	  140.00000    	  346.53828    	 -81651.919    	  0.0000000    	 -23079.268    	 -58572.651    
  1000066.6    	 -80959.812    	  140.00000    	  346.68414    	 -80959.812    	  0.0000000    	 -22833.210    	 -58126.602    
  1000069.7    	 -80073.418    	  140.00000    	  346.86536    	 -80073.418    	  0.0000000    	 -22521.140    	 -57552.277    
  1000073.7    	 -78942.948    	  140.00000    	  347.08866    	 -78942.948    	  0.0000000    	 -22127.575    	 -56815.374    
  1000078.9    	 -77506.989    	  140.00000    	  347.36259    	 -77506.989    	  0.0000000    	 -21634.029    	 -55872.960    
  1000085.6    	 -75692.291    	  140.00000    	  347.69573    	 -75692.291    	  0.0000000    	 -21019.747    	 -54672.544    
  1000094.4    	 -73412.153    	  140.00000    	  348.09749    	 -73412.153    	  0.0000000    	 -20261.590    	 -53150.562    
  1000105.8    	 -70566.538    	  140.00000    	  348.57592    	 -70566.538    	  0.0000000    	 -19334.807    	 -51231.731    
  1000120.6    	 -67042.504    	  140.00000    	  349.13948    	 -67042.504    	  0.0000000    	 -18214.587    	 -48827.917    
  1000139.9    	 -62714.791    	  140.00000    	  349.79245    	 -62714.791    	  0.0000000    	 -16876.259    	 -45838.532    
  1000165.0    	 -57448.752    	  140.00000    	  350.53456    	 -57448.752    	  0.0000000    	 -15297.017    	 -42151.735    
  1000197.6    	-0.19008439E-09	  144.32924    	  393.96821    	 -2766.8132    	  2766.8132    	  2766.8132    	 -2766.8132    
  1000239.9    	 0.24510882E-09	  143.88545    	  385.20676    	 -1793.4400    	  1793.4400    	  1793.4400    	 -1793.4400    
  1000254.6    	 0.34810910E-09	  144.41087    	  382.42399    	 -1181.1682    	  1181.1682    	  1181.1682    	 -1181.1682    
  1000269.2    	 0.11254997E-09	  144.91394    	  379.78709    	 -724.76447    	  724.76447    	  724.76447    	 -724.76447    
  1000283.8    	 0.23209168E-09	  145.38575    	  377.61232    	 -346.98139    	  346.98139    	  346.98139    	 -346.98139    
  1000298.4    	 -71387.176    	  140.00000    	  370.01626    	 -71387.176    	  0.0000000    	 -23578.844    	 -47808.332    
  1000313.1    	 -74509.378    	  140.00000    	  372.36695    	 -74509.378    	  0.0000000    	 -24066.251    	 -50443.127    
  1000327.7    	 -78100.777    	  140.00000    	  373.46977    	 -78100.777    	  0.0000000    	 -24969.792    	 -53130.985    
  1000342.3    	 -81746.717    	  140.00000    	  374.03957    	 -81746.717    	  0.0000000    	 -26024.603    	 -55722.114    
  1000356.9    	 -85154.347    	  140.00000    	  335.24301    	 -85154.347    	  0.0000000    	 -27101.542    	 -58052.805    
  1000371.6    	 -88454.120    	  140.00000    	  336.44454    	 -88454.120    	  0.0000000    	 -28152.401    	 -60301.719    
  1000386.2    	 -91634.101    	  140.00000    	  336.99267    	 -91634.101    	  0.0000000    	 -29158.786    	 -62475.315    
  1000400.8    	 -94696.298    	  140.00000    	  337.26218    	 -94696.298    	  0.0000000    	 -30118.424    	 -64577.874    
  1000415.4    	 -97647.256    	  140.00000    	  337.41088    	 -97647.256    	  0.0000000    	 -31033.435    	 -66613.821    
  1000430.1    	 -100494.87    	  140.00000    	  337.50674    	 -100494.87    	  0.0000000    	 -31907.422    	 -68587.446    
  1000444.7    	 -103246.98    	  140.00000    	  337.58005    	 -103246.98    	  0.0000000    	 -32744.190    	 -70502.793    
  1000459.3    	 -105910.68    	  140.00000    	  337.64459    	 -105910.68    	  0.0000000    	 -33547.250    	 -72363.434    
  1000473.9    	 -108492.37    	  140.00000    	  337.70671    	 -108492.37    	  0.0000000    	 -34319.715    	 -74172.651    
  1000488.6    	 -110997.65    	  140.00000    	  337.76943    	 -110997.65    	  0.0000000    	 -35064.258    	 -75933.395    
  1000503.2    	 -113431.07    	  140.00000    	  337.83390    	 -113431.07    	  0.0000000    	 -35782.770    	 -77648.297    
  1000517.8    	 -115798.02    	  140.00000    	  337.90069    	 -115798.02    	  0.0000000    	 -36478.219    	 -79319.799    
  1000532.4    	 -118101.97    	  140.00000    	  337.96967    	 -118101.97    	  0.0000000    	 -37151.912    	 -80950.058    
  1000547.1    	 -120346.49    	  140.00000    	  337.96744    	 -120346.49    	  0.0000000    	 -37805.430    	 -82541.065    
  1000561.7    	 -122534.71    	  140.00000    	  337.95125    	 -122534.71    	  0.0000000    	 -38440.090    	 -84094.619    
  1000576.3    	 -124607.65    	  140.00000    	  332.27373    	 -124607.65    	  0.0000000    	 -39056.080    	 -85551.568    
  1000590.9    	 -126624.14    	  140.00000    	  332.40797    	 -126624.14    	  0.0000000    	 -39653.408    	 -86970.732    
  1000605.6    	 -128588.44    	  140.00000    	  332.41851    	 -128588.44    	  0.0000000    	 -40233.414    	 -88355.024    
  1000620.2    	 -130000.00    	  140.04058    	  332.31324    	 -130000.00    	  0.0000000    	 -40628.209    	 -89371.791    
  1000634.8    	 -130000.00    	  140.19295    	  332.00120    	 -130000.00    	  0.0000000    	 -40554.487    	 -89445.513    
  1000649.4    	 -130000.00    	  140.34551    	  331.65802    	 -130000.00    	  0.0000000    	 -40501.794    	 -89498.206    
  1000664.1    	 -130000.00    	  140.49684    	  331.30381    	 -130000.00    	  0.0000000    	 -40460.841    	 -89539.159    
  1000678.7    	 -130000.00    	  140.64628    	  330.94859    	 -130000.00    	  0.0000000    	 -40426.735    	 -89573.265    
  1000693.3    	 -130000.00    	  140.79354    	  330.59744    	 -130000.00    	  0.0000000    	 -40396.830    	 -89603.170    
  1000707.9    	 -130000.00    	  140.93852    	  330.32255    	 -130000.00    	  0.0000000    	 -40369.251    	 -89630.749    
  1000722.6    	 -130000.00    	  141.08138    	  330.26893    	 -130000.00    	  0.0000000    	 -40342.796    	 -89657.204    
  1000737.2    	 -130000.00    	  141.22214    	  330.21506    	 -130000.00    	  0.0000000    	 -40317.033    	 -89682.967    
  1000751.8    	 -130000.00    	  141.36086    	  330.16109    	 -130000.00    	  0.0000000    	 -40291.861    	 -89708.139    
  1000766.4    	 -130000.00    	  141.49760    	  330.10718    	 -130000.00    	  0.0000000    	 -40267.133    	 -89732.867    
  1000781.1    	 -130000.00    	  141.63238    	  330.05349    	 -130000.00    	  0.0000000    	 -40242.855    	 -89757.145    
  1000795.7    	 -130000.00    	  141.76527    	  330.00025    	 -130000.00    	  0.0000000    	 -40218.979    	 -89781.021    
  1000810.3    	 -130000.00    	  141.89627    	  329.94755    	 -130000.00    	  0.0000000    	 -40195.501    	 -89804.499    
  1000824.9    	 -130000.00    	  142.02543    	  329.89543    	 -130000.00    	  0.0000000    	 -40172.435    	 -89827.565    
  1000839.6    	 -130000.00    	  142.15278    	  329.84403    	 -130000.00    	  0.0000000    	 -40149.717    	 -89850.283    
  1000854.2    	 -130000.00    	  142.27833    	  329.79330    	 -130000.00    	  0.0000000    	 -40127.383    	 -89872.617    
  1000868.8    	 -130000.00    	  142.40213    	  329.74334    	 -130000.00    	  0.0000000    	 -40105.376    	 -89894.624    
  1000883.4    	 -130000.00    	  142.52420    	  329.69411    	 -130000.00    	  0.0000000    	 -40083.713    	 -89916.287    
  1000898.1    	 -130000.00    	  142.64456    	  329.64562    	 -130000.00    	  0.0000000    	 -40062.395    	 -89937.605    
  1000912.7    	 -130000.00    	  142.76324    	  329.59794    	 -130000.00    	  0.0000000    	 -40041.356    	 -89958.644    
  1000927.3    	 -130000.00    	  142.88026    	  329.55104    	 -130000.00    	  0.0000000    	 -40020.609    	 -89979.391    
  1000941.9    	 -130000.00    	  142.99565    	  329.50491    	 -130000.00    	  0.0000000    	 -40000.165    	 -89999.835    
  1000956.6    	 -130000.00    	  143.10954    	  329.52823    	 -130000.00    	  0.0000000    	 -39979.507    	 -90020.493    
  1000971.2    	 -130000.00    	  143.22198    	  329.57758    	 -130000.00    	  0.0000000    	 -39958.732    	 -90041.268    
